u,v,CN,Jaccard,AA,PA
14103,39176,1,0.1111111111111111,0.45511961331341866,16
14975,45521,1,0.09090909090909091,0.2969742043733701,32
16619,26304,1,0.043478260869565216,0.36067376022224085,144
42304,50878,1,0.07142857142857142,0.3898712452512801,56
12561,35480,1,0.05555555555555555,0.30692767643013485,90
7901,11599,1,0.08333333333333333,0.6213349345596119,12
21587,57885,2,0.1,0.6414951320425538,117
22895,67012,1,0.0625,0.31066746727980593,66
24313,56120,1,0.09090909090909091,0.3459762562611936,27
37152,58965,1,0.058823529411764705,0.6213349345596119,80
5338,34646,1,0.1,0.36067376022224085,24
12561,19615,2,0.04878048780487805,0.7814447287888047,306
7255,22189,2,0.2222222222222222,0.6649052451649946,30
10011,29715,2,0.07142857142857142,0.7449619491830577,144
40517,60368,1,0.02702702702702703,0.3789231816899512,280
49369,61275,1,0.07692307692307693,0.48089834696298783,49
34071,38847,1,0.04,0.318928988903801,153
31398,45319,1,0.03225806451612903,0.3789231816899512,207
13937,60956,2,0.09090909090909091,0.6068261510845583,119
32697,34735,1,0.034482758620689655,0.2835784920513334,189
2508,66017,1,0.030303030303030304,0.3789231816899512,240
23297,42856,1,0.1111111111111111,0.9102392266268373,24
53132,65168,2,0.058823529411764705,1.1022332815225997,243
26913,51240,1,0.05,0.2729584204093974,80
4248,49726,1,0.1111111111111111,0.7213475204444817,9
13664,59077,1,0.02631578947368421,0.29120667621996243,140
15005,45521,1,0.045454545454545456,0.2969742043733701,120
10278,55319,1,0.03125,0.3789231816899512,216
35630,48724,1,0.034482758620689655,0.318928988903801,224
30744,37332,1,0.019230769230769232,0.31465798044412485,570
30291,44934,1,0.027777777777777776,0.269282508064391,286
27312,64720,2,0.07142857142857142,0.8668544662345119,161
29342,29509,1,0.0625,0.31066746727980593,42
9117,65086,3,0.17647058823529413,1.188066894837879,64
45736,51382,1,0.03225806451612903,0.33380820069533407,231
47200,55387,1,0.027777777777777776,0.267546386419054,322
28737,46139,1,0.027777777777777776,0.3001016285004131,210
14083,38500,1,0.034482758620689655,0.29401410379520604,125
48089,61147,1,0.058823529411764705,0.5581106265512472,65
37332,61942,1,0.043478260869565216,0.48089834696298783,135
8275,18956,1,0.02702702702702703,0.48089834696298783,280
35236,63322,1,0.07142857142857142,0.40242960438184466,56
4723,68651,1,0.25,0.40242960438184466,6
40655,43686,1,0.0625,0.36067376022224085,30
5764,34646,1,0.08333333333333333,0.36067376022224085,30
10024,67453,1,0.05263157894736842,0.36926937306885504,64
24394,33454,1,0.02,0.36926937306885504,620
2038,31729,1,0.07692307692307693,0.48089834696298783,48
